epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.9037,0.99406,3.60397,1.03075,0.00476,0.28058,0.0362,0.03118,0.89617,3.76664,0.87106,5.716e-05,5.716e-05,5.716e-05
2,41.8223,0.87781,3.31948,0.94209,0.01068,0.56251,0.12479,0.10265,0.94684,3.6283,0.84799,0.000126064,0.000126064,0.000126064
3,60.9052,0.90168,2.93582,0.94974,0.01582,0.7195,0.26721,0.17065,0.93584,3.55234,0.8404,0.000192138,0.000192138,0.000192138
4,80.0928,0.95397,2.52141,0.97766,0.0167,0.78895,0.30829,0.2129,0.88539,3.52747,0.83011,0.000255382,0.000255382,0.000255382
5,99.4972,0.91425,2.18895,0.99234,0.01677,0.78331,0.28719,0.19579,1.00542,3.48357,0.85615,0.000315798,0.000315798,0.000315798
6,118.429,0.91115,1.9514,0.96167,0.01789,0.81697,0.30646,0.21191,0.98045,3.43841,0.86659,0.000373383,0.000373383,0.000373383
7,137.635,0.9208,1.62856,0.96635,0.02575,0.76712,0.35284,0.24998,1.05424,3.42635,0.8852,0.00042814,0.00042814,0.00042814
8,157.267,0.92368,1.40015,0.96648,0.03079,0.76148,0.48809,0.33794,1.05963,3.38876,0.88668,0.000480067,0.000480067,0.000480067
9,176.5,0.98033,1.31351,0.98661,0.02943,0.73338,0.41774,0.25787,1.14106,3.36861,0.95886,0.000529164,0.000529164,0.000529164
10,195.651,0.9097,1.19624,0.98682,0.02713,0.74672,0.541,0.36801,1.08268,3.29616,0.93137,0.000575433,0.000575433,0.000575433
11,214.707,0.88668,1.12759,0.9679,0.02011,0.68719,0.46601,0.32413,1.01773,3.25469,0.89275,0.000618871,0.000618871,0.000618871
12,233.352,0.84113,1.10114,0.99663,1,0.07979,0.39062,0.30064,0.98799,3.21617,0.89149,0.000659481,0.000659481,0.000659481
13,252.015,0.78454,0.99702,0.9639,1,0.06212,0.39982,0.31616,0.97263,3.18116,0.88135,0.000697261,0.000697261,0.000697261
14,270.955,0.84558,1.0231,0.9667,0.92595,0.10551,0.4804,0.38649,0.98967,3.0625,0.88988,0.000732211,0.000732211,0.000732211
15,289.551,0.84008,1.00289,0.96631,0.93066,0.13425,0.59246,0.44387,1.0122,2.90197,0.91833,0.000764332,0.000764332,0.000764332
16,308.252,0.86918,0.9903,0.94233,0.86845,0.12463,0.65136,0.48575,1.01892,2.81768,0.91975,0.000793624,0.000793624,0.000793624
17,327.293,0.82371,0.94982,0.94304,0.94301,0.24742,0.77649,0.57038,1.02448,2.56189,0.91757,0.000820086,0.000820086,0.000820086
18,346.353,0.8573,0.8989,0.93032,0.95039,0.32135,0.84691,0.59671,1.07139,2.41596,0.94443,0.000843719,0.000843719,0.000843719
19,365.036,0.80444,0.90073,0.94079,0.90141,0.38118,0.86347,0.61114,1.03497,2.30291,0.94696,0.000864522,0.000864522,0.000864522
20,383.802,0.79453,0.84876,0.92101,0.91683,0.62629,0.86711,0.63352,1.00797,2.00323,0.96004,0.000882496,0.000882496,0.000882496
21,402.506,0.84215,0.95134,0.94672,0.90279,0.68293,0.85372,0.64201,0.96361,1.95607,0.94341,0.000863116,0.000863116,0.000863116
22,421.159,0.83723,0.88313,0.94375,0.93028,0.79968,0.87486,0.6496,0.95708,1.92378,0.93636,0.000834822,0.000834822,0.000834822
23,439.752,0.82829,0.86881,0.93763,0.89634,0.87445,0.87874,0.64503,0.97179,1.80709,0.9419,0.000806528,0.000806528,0.000806528
24,458.36,0.84001,0.87515,0.94357,0.87138,0.85947,0.8702,0.62264,1.02886,1.48211,0.96819,0.000778233,0.000778233,0.000778233
25,477.187,0.8666,0.88508,0.96111,0.84358,0.8492,0.842,0.62211,0.97497,1.41428,0.95128,0.000749939,0.000749939,0.000749939
26,495.519,0.81396,0.86242,0.95639,0.85614,0.86374,0.86266,0.63222,0.93156,1.35086,0.93802,0.000721645,0.000721645,0.000721645
27,514.172,0.74197,0.8087,0.90878,0.81826,0.88928,0.85179,0.64976,0.91298,1.32405,0.92693,0.000693351,0.000693351,0.000693351
28,532.73,0.78653,0.83825,0.94283,0.83599,0.9086,0.90655,0.69265,0.917,1.20405,0.91966,0.000665057,0.000665057,0.000665057
29,551.775,0.73484,0.81224,0.90111,0.88599,0.87992,0.90944,0.69013,0.91459,1.14358,0.91251,0.000636762,0.000636762,0.000636762
30,570.503,0.74529,0.81635,0.91129,0.87964,0.87677,0.87466,0.66063,0.90526,1.12156,0.90842,0.000608468,0.000608468,0.000608468
31,589.326,0.73923,0.76622,0.90776,0.89069,0.87443,0.86643,0.65745,0.91728,1.12467,0.91179,0.000580174,0.000580174,0.000580174
32,608.199,0.71245,0.74567,0.90078,0.90449,0.91232,0.88828,0.65744,0.89928,1.13035,0.89817,0.00055188,0.00055188,0.00055188
33,626.72,0.68895,0.75066,0.89954,0.86856,0.92376,0.88642,0.65795,0.89785,1.12838,0.89398,0.000523586,0.000523586,0.000523586
34,645.488,0.72537,0.74371,0.89021,0.88006,0.89578,0.87881,0.64361,0.90727,1.10177,0.89452,0.000495291,0.000495291,0.000495291
35,664.263,0.71428,0.74262,0.89775,0.86781,0.90981,0.87818,0.64587,0.9091,1.07763,0.8979,0.000466997,0.000466997,0.000466997
36,682.894,0.71705,0.73911,0.89659,0.87077,0.9178,0.87654,0.63326,0.92465,1.06647,0.9137,0.000438703,0.000438703,0.000438703
37,701.419,0.68043,0.71163,0.89035,0.86912,0.91699,0.87812,0.6411,0.92407,1.07469,0.91354,0.000410409,0.000410409,0.000410409
38,720.134,0.70134,0.71779,0.90207,0.8626,0.91408,0.87993,0.65336,0.91359,1.07868,0.90621,0.000382115,0.000382115,0.000382115
39,738.394,0.66825,0.70646,0.89292,0.85988,0.87952,0.87078,0.65589,0.9026,1.08019,0.89982,0.00035382,0.00035382,0.00035382
40,757.284,0.66344,0.70787,0.87865,0.88516,0.87754,0.88173,0.67173,0.88523,1.04951,0.893,0.000325526,0.000325526,0.000325526
41,775.956,0.62778,0.80463,0.85565,0.87368,0.89331,0.88623,0.67134,0.88435,1.07272,0.89039,0.000297232,0.000297232,0.000297232
42,794.307,0.61464,0.77594,0.84576,0.88233,0.89381,0.89242,0.67559,0.8919,1.106,0.88906,0.000268938,0.000268938,0.000268938
43,812.946,0.60738,0.78933,0.84932,0.8795,0.89765,0.89513,0.67936,0.90099,1.12382,0.8921,0.000240644,0.000240644,0.000240644
44,831.582,0.60582,0.81151,0.83066,0.88069,0.90307,0.89236,0.6622,0.93328,1.08877,0.90295,0.000212349,0.000212349,0.000212349
45,849.86,0.61157,0.75438,0.85543,0.8836,0.90179,0.88957,0.66039,0.92656,1.05448,0.9036,0.000184055,0.000184055,0.000184055
46,868.761,0.59458,0.75174,0.84715,0.8656,0.90531,0.88858,0.65937,0.9108,1.0192,0.90173,0.000155761,0.000155761,0.000155761
47,887.5,0.61308,0.74704,0.84784,0.88044,0.9165,0.90439,0.6615,0.90093,0.99448,0.90067,0.000127467,0.000127467,0.000127467
48,905.708,0.5989,0.7386,0.84196,0.87608,0.91604,0.90549,0.65507,0.89966,0.98347,0.90027,9.91726e-05,9.91726e-05,9.91726e-05
49,924.057,0.59791,0.72526,0.8436,0.87501,0.91696,0.90324,0.65178,0.9039,0.98634,0.89985,7.08784e-05,7.08784e-05,7.08784e-05
50,942.197,0.60081,0.71787,0.84505,0.87472,0.9182,0.90207,0.65307,0.90769,0.99112,0.9009,4.25842e-05,4.25842e-05,4.25842e-05
